日期,平台,城区,小区,服务类型,服务等级,计价方式,单价(元),总价(元),促销价(元),淡旺季
2025/1/5,58到家,邕宁,世茂茂御府,日常保洁,金牌,4小时,68.8,275,,旺季
2025/12/20,58到家,江南,汇东星城,日常保洁,熟练,4小时,46.4,186,,旺季
2025/7/3,天鹅到家,良庆,华润二十四城,日常保洁,金牌,5小时,62,310,278,旺季
2026/2/3,天鹅到家,武鸣,九个半岛,家电清洗-洗衣机,金牌,2台-洗衣机,215.2,430,341,旺季
2026/1/22,天鹅到家,兴宁,盛天东郡,深度清洁,金牌,5小时,105.1,526,,旺季
2025/1/18,天鹅到家,良庆,龙光玖珑湖,日常保洁,新手,5小时,59.3,296,262,旺季
2026/3/25,58到家,江南,汇东星城,家电清洗-冰箱,新手,2台-冰箱,108.9,218,,旺季
2025/2/28,58到家,武鸣,恒泰丽园,开荒保洁,新手,130㎡,6,780,,旺季
2025/7/7,美团家政,兴宁,奥园园著,日常保洁,新手,3小时,43.1,129,,旺季
2025/10/27,58到家,兴宁,龙基传媒星城,日常保洁,新手,3小时,40.9,123,,旺季
2025/6/17,天鹅到家,青秀,保利21世家,深度清洁,熟练,5小时,78.5,392,,平日
2025/3/13,美团家政,武鸣,万隆国际,家电清洗-洗衣机,新手,1台-洗衣机,137.9,138,,旺季
2026/5/2,天鹅到家,西乡塘,大唐天城,深度清洁,熟练,3小时,72.3,217,,平日
2026/3/3,58到家,西乡塘,正恒国际广场,日常保洁,熟练,4小时,52.2,209,170,旺季
2026/5/18,天鹅到家,良庆,融创九棠府,日常保洁,熟练,3小时,53,159,,平日
2026/2/26,58到家,青秀,盛天茗城,深度清洁,熟练,3小时,80.6,242,,旺季
2026/5/22,美团家政,兴宁,保利山渐青,日常保洁,熟练,3小时,44.4,133,,平日
2025/4/30,58到家,兴宁,联发尚筑,日常保洁,金牌,3小时,61.9,186,,旺季
2026/2/13,美团家政,青秀,香格里拉花园,日常保洁,新手,3小时,51.4,154,122,旺季
2025/3/6,天鹅到家,良庆,恒大绿洲,开荒保洁,熟练,120㎡,7.6,912,762,旺季
2026/4/30,天鹅到家,青秀,山水方园,家电清洗-油烟机,熟练,2台-油烟机,176.4,353,325,旺季
2026/3/10,58到家,良庆,恒大绿洲,深度清洁,金牌,3小时,107,321,,旺季
2025/3/17,美团家政,青秀,中房翡翠园,深度清洁,熟练,3小时,94.7,284,,旺季
2025/5/31,58到家,江南,风格雨林,日常保洁,熟练,5小时,42.6,213,,平日
2026/1/5,美团家政,江南,融晟公园大地,深度清洁,金牌,4小时,104.7,419,345,旺季
2025/12/7,58到家,良庆,龙光玖珑湖,开荒保洁,熟练,80㎡,6.5,520,399,旺季
2026/1/14,58到家,兴宁,恒大华府,日常保洁,金牌,4小时,62.7,251,203,旺季
2025/12/7,58到家,邕宁,阳光城丽景湾,家电清洗-油烟机,熟练,1台-油烟机,140.2,140,121,旺季
2025/4/25,美团家政,良庆,碧水天和,日常保洁,熟练,4小时,58.8,235,,旺季
2025/10/15,天鹅到家,西乡塘,大唐天城,日常保洁,金牌,5小时,55.6,278,242,旺季
2025/6/8,58到家,良庆,龙光玖珑湖,家电清洗-冰箱,熟练,1台-冰箱,116.7,117,,平日
2025/1/16,美团家政,兴宁,保利山渐青,日常保洁,熟练,3小时,58.6,176,,旺季
2026/2/2,天鹅到家,西乡塘,大嘉汇尚悦,日常保洁,熟练,3小时,53.8,161,139,旺季
2025/9/6,天鹅到家,江南,汇东星城,日常保洁,熟练,3小时,45.7,137,119,平日
2025/9/7,天鹅到家,西乡塘,大嘉汇尚悦,日常保洁,金牌,3小时,49.2,148,,平日
2025/4/19,美团家政,兴宁,江宇世纪城,日常保洁,新手,5小时,47.8,239,201,旺季
2025/4/28,天鹅到家,江南,金湾花城,日常保洁,金牌,3小时,64.3,193,,旺季
2025/2/9,58到家,江南,昌泰鑫金绿洲,深度清洁,熟练,3小时,70.5,212,171,旺季
2026/2/15,天鹅到家,江南,金湾花城,日常保洁,金牌,3小时,59.1,177,,旺季
2025/2/10,58到家,邕宁,合景天峻广场,日常保洁,熟练,3小时,53.2,160,134,旺季
2026/4/9,58到家,良庆,融创九棠府,开荒保洁,新手,80㎡,5.4,432,335,旺季
2026/1/24,天鹅到家,青秀,山水方园,深度清洁,熟练,4小时,110.9,444,,旺季
2026/4/19,天鹅到家,西乡塘,昌泰清华园,日常保洁,金牌,3小时,62.4,187,154,旺季
2025/6/5,58到家,西乡塘,瀚林华府,深度清洁,新手,4小时,50.4,202,,平日
2025/5/27,美团家政,西乡塘,骋望麓涛,深度清洁,熟练,4小时,67.2,269,,平日
2026/1/14,美团家政,江南,昌泰鑫金绿洲,开荒保洁,新手,150㎡,5.7,855,,旺季
2025/8/19,美团家政,兴宁,龙基传媒星城,家电清洗-柜机空调,新手,1台-柜机空调,93.7,94,,旺季
2025/8/13,天鹅到家,江南,绿港阳光城,日常保洁,金牌,4小时,56.4,226,,旺季
2025/11/3,美团家政,兴宁,龙基传媒星城,日常保洁,新手,5小时,38.1,190,170,平日
2026/5/9,天鹅到家,邕宁,合景天峻广场,日常保洁,熟练,3小时,49.6,149,,平日
2025/12/6,58到家,青秀,蓝山上城,家电清洗-冰箱,新手,2台-冰箱,115.9,232,,旺季
2026/3/1,天鹅到家,武鸣,红岭小区,深度清洁,熟练,3小时,103.5,310,,旺季
2026/5/2,美团家政,良庆,港保苑,日常保洁,金牌,3小时,52.1,156,,平日
2025/2/21,天鹅到家,兴宁,恒大华府,日常保洁,新手,4小时,44.6,178,,旺季
2025/3/25,美团家政,邕宁,世茂茂御府,开荒保洁,新手,120㎡,5.9,708,584,旺季
2025/5/26,天鹅到家,兴宁,保利山渐青,深度清洁,新手,4小时,59.9,240,208,平日
2025/10/20,58到家,江南,汇东星城,开荒保洁,熟练,130㎡,5.8,754,,旺季
2026/2/15,天鹅到家,青秀,莱茵湖畔,日常保洁,熟练,3小时,61.2,184,164,旺季
2026/3/12,美团家政,良庆,龙光玖珑湖,日常保洁,金牌,3小时,70.3,211,191,旺季
2026/2/23,58到家,邕宁,阳光城丽景湾,深度清洁,熟练,3小时,78.6,236,,旺季
2025/7/11,美团家政,青秀,维也纳森林,日常保洁,熟练,3小时,57.3,172,137,旺季
2026/3/1,58到家,西乡塘,人和莱茵鹭湖,开荒保洁,熟练,60㎡,6.5,390,307,旺季
2025/3/18,天鹅到家,武鸣,武鸣碧桂园,日常保洁,新手,3小时,60.5,182,156,旺季
2025/11/15,58到家,青秀,香格里拉花园,家电清洗-挂机空调,熟练,1台-挂机空调,129.3,129,97,平日
2025/6/30,美团家政,江南,绿港阳光城,开荒保洁,新手,120㎡,4,480,,平日
2025/9/17,天鹅到家,江南,风格雨林,家电清洗-冰箱,新手,2台-冰箱,91.2,182,161,平日
2025/6/26,美团家政,兴宁,瀚林山水源,开荒保洁,熟练,120㎡,5.1,612,,平日
2025/6/23,天鹅到家,青秀,山水方园,开荒保洁,金牌,150㎡,7.7,1155,,平日
2025/2/2,天鹅到家,兴宁,中海国际社区,日常保洁,新手,3小时,48.1,144,,旺季
2025/6/8,天鹅到家,良庆,碧水天和,深度清洁,新手,5小时,61.4,307,,平日
2026/2/4,美团家政,邕宁,合景天峻广场,日常保洁,熟练,4小时,57.8,231,,旺季
2026/4/4,58到家,良庆,龙光玖珑湖,深度清洁,熟练,4小时,85.7,343,282,旺季
2025/8/9,天鹅到家,武鸣,恒泰丽园,深度清洁,新手,3小时,77.8,233,192,旺季
2026/1/3,58到家,青秀,凤岭春天,日常保洁,新手,3小时,57.7,173,,旺季
2025/11/24,美团家政,青秀,塞纳维拉花园,深度清洁,熟练,5小时,78.1,390,,平日
2025/3/15,天鹅到家,西乡塘,联发西棠,日常保洁,新手,5小时,49.6,248,,旺季
2025/10/18,美团家政,西乡塘,联发西棠,家电清洗-挂机空调,熟练,1台-挂机空调,127.4,127,,旺季
2025/11/29,58到家,青秀,保利21世家,日常保洁,新手,4小时,41.8,167,,平日
2025/5/15,58到家,西乡塘,龙光水悦龙湾,家电清洗-冰箱,新手,1台-冰箱,81.8,82,,平日
2025/8/20,美团家政,邕宁,大唐盛世,家电清洗-油烟机,金牌,2台-油烟机,181.6,363,,旺季
2025/5/29,58到家,邕宁,世茂茂御府,开荒保洁,熟练,80㎡,5.8,464,,平日
2025/5/2,58到家,青秀,万正鸣翠谷,深度清洁,熟练,4小时,70.7,283,,平日
2025/2/3,58到家,良庆,华润二十四城,开荒保洁,熟练,130㎡,6.5,845,773,旺季
2025/11/25,美团家政,江南,南宁奥园,日常保洁,金牌,4小时,50.2,201,184,平日
2025/8/10,天鹅到家,邕宁,阳光城丽景湾,家电清洗-油烟机,熟练,1台-油烟机,141.5,142,,旺季
2025/4/26,58到家,武鸣,万隆国际,家电清洗-柜机空调,新手,2台-柜机空调,127.8,256,,旺季
2025/10/1,美团家政,江南,绿港阳光城,深度清洁,熟练,3小时,74.5,224,,旺季
2025/11/6,58到家,邕宁,阳光城丽景湾,开荒保洁,新手,60㎡,4.6,276,,平日
2025/5/16,天鹅到家,青秀,中房翡翠园,深度清洁,熟练,4小时,83.2,333,,平日
2025/11/25,58到家,江南,风格雨林,日常保洁,新手,3小时,35.5,106,,平日
2025/8/26,美团家政,良庆,龙光玖珑湖,日常保洁,熟练,5小时,55.8,279,,旺季
2025/7/24,美团家政,兴宁,恒大华府,深度清洁,新手,4小时,58.4,234,,旺季
2025/3/14,美团家政,青秀,龙光君御华府,家电清洗-洗衣机,熟练,2台-洗衣机,173.2,346,,旺季
2025/4/8,美团家政,江南,南宁奥园,深度清洁,金牌,4小时,93.1,372,,旺季
2025/9/16,58到家,武鸣,标营新区,深度清洁,新手,3小时,66,198,,平日
2025/12/1,天鹅到家,江南,南宁奥园,日常保洁,新手,3小时,48.1,144,,旺季
2026/1/27,58到家,良庆,阳光新城,日常保洁,熟练,3小时,62.7,188,157,旺季
2026/1/27,天鹅到家,良庆,南宁恒大名都,开荒保洁,新手,80㎡,6.5,520,,旺季
2025/6/23,天鹅到家,武鸣,恒泰丽园,日常保洁,熟练,4小时,54.9,220,192,平日
2026/2/16,58到家,江南,绿港阳光城,深度清洁,熟练,3小时,76.5,230,,旺季
2025/7/21,天鹅到家,兴宁,江宇世纪城,深度清洁,熟练,4小时,76.8,307,,旺季
2025/6/3,58到家,兴宁,龙基传媒星城,日常保洁,新手,4小时,37.1,148,,平日
2026/1/7,天鹅到家,西乡塘,昌泰清华园,深度清洁,金牌,4小时,111,444,,旺季
2025/10/26,58到家,青秀,塞纳维拉花园,开荒保洁,熟练,130㎡,6.1,793,,旺季
2025/1/17,天鹅到家,武鸣,红岭小区,日常保洁,熟练,4小时,74.9,300,,旺季
2025/7/30,天鹅到家,兴宁,中海国际社区,家电清洗-挂机空调,熟练,1台-挂机空调,133.3,133,,旺季
2025/12/6,58到家,江南,金湾花城,家电清洗-热水器,熟练,2台-热水器,127.1,254,,旺季
2026/3/21,天鹅到家,西乡塘,正恒国际广场,深度清洁,新手,3小时,70.4,211,192,旺季
2026/5/18,58到家,兴宁,保利山渐青,开荒保洁,熟练,150㎡,4.9,735,,平日
2026/2/12,天鹅到家,良庆,恒大绿洲,深度清洁,熟练,4小时,90.8,363,,旺季
2026/2/16,美团家政,良庆,绿地国际花都,家电清洗-冰箱,新手,2台-冰箱,115.7,231,206,旺季
2025/5/19,天鹅到家,西乡塘,人和莱茵鹭湖,日常保洁,熟练,3小时,44.8,134,,平日
2025/9/29,美团家政,西乡塘,大嘉汇尚悦,日常保洁,新手,4小时,37,148,,平日
2025/1/3,天鹅到家,武鸣,恒泰丽园,深度清洁,金牌,4小时,137.4,550,503,旺季
2025/6/14,58到家,西乡塘,骋望麓涛,开荒保洁,新手,60㎡,4.2,252,227,平日
2025/4/1,美团家政,武鸣,武鸣碧桂园,开荒保洁,新手,100㎡,6.8,680,576,旺季
2025/2/24,58到家,良庆,融创九棠府,深度清洁,熟练,3小时,83.5,250,,旺季
2025/4/9,美团家政,良庆,华润二十四城,深度清洁,新手,3小时,72.2,217,,旺季
2025/6/1,天鹅到家,西乡塘,龙光水悦龙湾,日常保洁,金牌,4小时,53.4,214,,平日
2025/2/14,58到家,西乡塘,人和莱茵鹭湖,家电清洗-洗衣机,熟练,1台-洗衣机,123.5,124,109,旺季
2026/5/4,58到家,良庆,华润二十四城,深度清洁,新手,3小时,59.2,178,137,平日
2025/6/7,美团家政,良庆,碧水天和,家电清洗-油烟机,金牌,1台-油烟机,163.9,164,,平日
2025/7/8,天鹅到家,青秀,华润幸福里,深度清洁,熟练,4小时,86.9,348,,旺季
2026/4/13,58到家,兴宁,保利山渐青,开荒保洁,熟练,80㎡,6.3,504,,旺季
2025/7/5,美团家政,邕宁,中铁交通天地明珠,日常保洁,熟练,4小时,51.7,207,,旺季
2025/3/26,58到家,邕宁,大唐盛世,日常保洁,新手,4小时,50.5,202,,旺季
2025/8/17,美团家政,江南,南宁奥园,深度清洁,熟练,4小时,73.1,292,,旺季
2026/1/6,美团家政,良庆,天誉花园,开荒保洁,熟练,60㎡,7.7,462,,旺季
2025/10/5,美团家政,武鸣,红岭小区,家电清洗-油烟机,熟练,2台-油烟机,153.7,307,264,旺季
2026/1/9,天鹅到家,武鸣,金茂新城,家电清洗-冰箱,熟练,2台-冰箱,195.6,391,,旺季
2026/3/24,天鹅到家,青秀,香格里拉花园,日常保洁,新手,4小时,57.2,229,210,旺季
2026/3/4,美团家政,兴宁,江宇世纪城,深度清洁,熟练,4小时,83.6,334,,旺季
2025/5/7,58到家,良庆,绿地国际花都,日常保洁,金牌,3小时,49.5,148,,平日
2025/11/11,美团家政,青秀,保利21世家,日常保洁,新手,4小时,45,180,,平日
2025/5/6,天鹅到家,青秀,凤岭春天,日常保洁,新手,3小时,44.6,134,,平日
2025/4/30,天鹅到家,江南,昌泰鑫金绿洲,深度清洁,熟练,3小时,84.7,254,,旺季
2026/5/20,天鹅到家,江南,风格雨林,日常保洁,新手,4小时,41.8,167,,平日
2025/11/17,天鹅到家,良庆,港保苑,日常保洁,新手,5小时,45,225,,平日
2025/6/13,天鹅到家,良庆,龙光玖珑湖,日常保洁,新手,4小时,44.2,177,,平日
2025/6/3,天鹅到家,青秀,凤岭春天,家电清洗-冰箱,熟练,1台-冰箱,137.6,138,111,平日
2025/2/10,58到家,邕宁,中铁交通天地明珠,深度清洁,金牌,3小时,92.4,277,,旺季
2025/11/5,美团家政,邕宁,龙光玖珑湾,开荒保洁,熟练,100㎡,5.8,580,,平日
2025/6/20,58到家,武鸣,麒麟御府,日常保洁,新手,5小时,44.2,221,,平日
2025/9/3,美团家政,西乡塘,龙光水悦龙湾,日常保洁,新手,3小时,39.6,119,,平日
2025/10/1,天鹅到家,良庆,绿地国际花都,日常保洁,金牌,4小时,60.1,240,,旺季
2025/8/29,58到家,邕宁,合景天峻广场,日常保洁,新手,3小时,45.5,136,115,旺季
2025/10/27,天鹅到家,西乡塘,正恒国际广场,日常保洁,新手,4小时,44.6,178,150,旺季
2026/4/29,天鹅到家,良庆,港保苑,家电清洗-冰箱,熟练,2台-冰箱,160.9,322,,旺季
2025/3/28,美团家政,西乡塘,联发西棠,日常保洁,金牌,5小时,64.7,324,,旺季
2026/3/6,美团家政,武鸣,麒麟御府,开荒保洁,熟练,100㎡,7.8,780,614,旺季
2025/8/22,58到家,青秀,塞纳维拉花园,开荒保洁,熟练,150㎡,6.4,960,807,旺季
2025/7/30,美团家政,青秀,蓝山上城,日常保洁,金牌,3小时,62.6,188,,旺季
2025/8/9,美团家政,青秀,保利21世家,深度清洁,新手,4小时,70,280,,旺季
2025/5/17,58到家,青秀,龙光君御华府,深度清洁,新手,5小时,59.1,296,,平日
2026/3/11,美团家政,西乡塘,大嘉汇尚悦,日常保洁,熟练,4小时,54.9,220,,旺季
2025/12/26,美团家政,青秀,香格里拉花园,深度清洁,熟练,4小时,92.4,370,,旺季
2026/4/4,天鹅到家,邕宁,龙光玖珑湾,日常保洁,金牌,4小时,71,284,217,旺季
2026/4/19,58到家,邕宁,阳光城丽景湾,日常保洁,金牌,3小时,68,204,,旺季
2026/1/21,天鹅到家,兴宁,瀚林山水源,日常保洁,熟练,4小时,64.2,257,,旺季
2026/4/5,天鹅到家,良庆,华润二十四城,日常保洁,金牌,5小时,68.2,341,,旺季
2025/6/27,美团家政,青秀,盛天茗城,家电清洗-热水器,新手,2台-热水器,107.5,215,,平日
2025/11/21,58到家,兴宁,中海国际社区,深度清洁,熟练,4小时,63.4,254,,平日
2025/12/5,58到家,青秀,中房翡翠园,日常保洁,新手,3小时,46.6,140,122,旺季
