年月,城区,预估需求量,预估供给量,供需比,旺季等级,数据来源
2026-03,江南,963,222,4.34,超级旺季,行业报告+平台数据推算
2026-03,西乡塘,986,207,4.76,超级旺季,行业报告+平台数据推算
2026-03,兴宁,726,232,3.13,超级旺季,行业报告+平台数据推算
2026-03,邕宁,647,175,3.7,超级旺季,行业报告+平台数据推算
2026-03,武鸣,644,140,4.6,超级旺季,行业报告+平台数据推算
2026-04,青秀,1972,279,7.07,超级旺季,行业报告+平台数据推算
2026-04,良庆,1316,270,4.87,超级旺季,行业报告+平台数据推算
2026-04,江南,1065,216,4.93,超级旺季,行业报告+平台数据推算
2026-04,西乡塘,1080,205,5.27,超级旺季,行业报告+平台数据推算
2026-04,兴宁,751,245,3.07,超级旺季,行业报告+平台数据推算
2026-04,邕宁,762,161,4.73,超级旺季,行业报告+平台数据推算
2026-04,武鸣,642,157,4.09,超级旺季,行业报告+平台数据推算
2026-05,青秀,807,179,4.51,平季,行业报告+平台数据推算
2026-05,良庆,529,204,2.59,平季,行业报告+平台数据推算
2026-05,江南,396,138,2.87,平季,行业报告+平台数据推算
2026-05,西乡塘,379,139,2.73,平季,行业报告+平台数据推算
2026-05,兴宁,275,145,1.9,平季,行业报告+平台数据推算
2026-05,邕宁,258,109,2.37,平季,行业报告+平台数据推算
2026-05,武鸣,255,110,2.32,平季,行业报告+平台数据推算
