订单ID,下单时间,城区,小区,服务类型,服务等级,服务时长,订单金额,客户评分,订单来源
NN20250118000021,2025-01-18 15:09,青秀,盛天茗城,家电清洗,熟练,3.0,353,3.2,美团
NN20250106000022,2025-01-06 08:32,青秀,华润幸福里,日常保洁,新手,4.5,241,4.0,电话
NN20250119000023,2025-01-19 17:05,良庆,南宁恒大名都,深度清洁,新手,4.0,292,4.4,58到家
NN20250115000024,2025-01-15 13:59,兴宁,瀚林山水源,日常保洁,熟练,4.5,229,4.6,小程序
NN20250105000025,2025-01-05 09:56,青秀,莱茵湖畔,日常保洁,金牌,5.0,143,3.5,电话
NN20250110000026,2025-01-10 18:06,武鸣,恒泰丽园,日常保洁,金牌,5.0,361,4.0,美团
NN20250111000027,2025-01-11 10:40,武鸣,恒泰丽园,开荒保洁,熟练,5.5,437,3.1,美团
NN20250127000028,2025-01-27 13:37,江南,风格雨林,日常保洁,新手,5.0,246,3.7,APP
NN20250107000029,2025-01-07 18:15,西乡塘,瀚林华府,开荒保洁,金牌,7.0,1268,4.9,美团
NN20250111000030,2025-01-11 14:51,西乡塘,龙光水悦龙湾,日常保洁,熟练,3.5,199,3.2,APP
NN20250127000031,2025-01-27 15:22,良庆,万科魅力之城,日常保洁,熟练,4.0,230,3.9,美团
NN20250122000032,2025-01-22 16:21,武鸣,红岭小区,家电清洗,新手,2.0,153,4.4,美团
NN20250112000033,2025-01-12 13:27,西乡塘,大唐天城,日常保洁,金牌,3.5,199,4.4,58到家
NN20250131000034,2025-01-31 19:47,西乡塘,瀚林华府,深度清洁,金牌,7.5,700,3.4,小程序
NN20250129000035,2025-01-29 12:32,良庆,阳光新城,日常保洁,熟练,4.5,256,4.0,小程序
NN20250119000036,2025-01-19 16:53,青秀,莱茵湖畔,日常保洁,熟练,5.0,303,4.0,58到家
NN20250117000037,2025-01-17 15:50,邕宁,世茂茂御府,开荒保洁,新手,5.0,453,4.2,美团
NN20250125000038,2025-01-25 09:29,良庆,融创九棠府,深度清洁,熟练,5.5,467,4.5,美团
NN20250129000039,2025-01-29 09:49,良庆,龙光玖珑湖,开荒保洁,熟练,6.0,808,4.3,电话
NN20250117000040,2025-01-17 16:38,良庆,港保苑,深度清洁,熟练,6.0,289,3.3,小程序
NN20250124000041,2025-01-24 15:28,良庆,万科魅力之城,家电清洗,新手,2.5,252,3.9,美团
NN20250111000042,2025-01-11 16:05,青秀,盛天茗城,日常保洁,新手,3.5,188,3.7,58到家
NN20250102000043,2025-01-02 11:53,良庆,南宁恒大名都,家电清洗,新手,3.0,255,4.1,58到家
NN20250129000044,2025-01-29 14:34,兴宁,恒大华府,开荒保洁,金牌,7.5,1294,4.4,58到家
NN20250122000045,2025-01-22 18:51,良庆,龙光玖珑湖,家电清洗,金牌,5.0,627,3.9,电话
NN20250114000046,2025-01-14 10:55,江南,龙光普罗旺斯,日常保洁,新手,4.0,185,3.9,APP
NN20250131000047,2025-01-31 14:16,邕宁,大唐盛世,日常保洁,熟练,6.0,349,3.8,小程序
NN20250131000048,2025-01-31 11:12,邕宁,世茂茂御府,日常保洁,熟练,3.5,221,3.5,58到家
NN20250104000049,2025-01-04 10:19,青秀,荣和大地,家电清洗,熟练,4.0,503,3.4,电话
NN20250108000050,2025-01-08 09:44,兴宁,联发尚筑,开荒保洁,熟练,6.5,739,3.8,小程序
NN20250103000051,2025-01-03 16:41,良庆,阳光新城,开荒保洁,新手,6.0,545,3.4,APP
NN20250131000052,2025-01-31 18:17,西乡塘,大唐天城,开荒保洁,熟练,7.5,923,4.3,58到家
NN20250130000053,2025-01-30 09:17,邕宁,龙光玖珑湾,开荒保洁,熟练,6.5,849,3.6,58到家
NN20250109000054,2025-01-09 13:17,邕宁,南宁宝能城市广场,深度清洁,熟练,5.0,415,4.2,58到家
NN20250108000055,2025-01-08 19:30,西乡塘,联发西棠,深度清洁,新手,4.0,256,3.7,美团
NN20250112000056,2025-01-12 19:35,良庆,华润二十四城,深度清洁,新手,3.5,257,4.4,58到家
NN20250131000057,2025-01-31 19:11,青秀,蓝山上城,深度清洁,熟练,8.0,723,4.1,美团
NN20250106000058,2025-01-06 12:00,西乡塘,人和莱茵鹭湖,日常保洁,金牌,4.5,281,4.3,美团
NN20250116000059,2025-01-16 09:55,青秀,莱茵湖畔,深度清洁,熟练,4.5,380,4.4,电话
NN20250103000060,2025-01-03 17:40,西乡塘,人和莱茵鹭湖,日常保洁,熟练,4.0,231,3.6,美团
NN20250120000061,2025-01-20 17:50,西乡塘,大唐天城,日常保洁,金牌,4.0,246,4.9,58到家
NN20250104000062,2025-01-04 11:40,青秀,塞纳维拉花园,日常保洁,新手,4.0,207,4.6,58到家
NN20250116000063,2025-01-16 12:02,青秀,蓝山上城,日常保洁,金牌,3.0,202,3.6,美团
NN20250107000064,2025-01-07 14:07,江南,绿港阳光城,家电清洗,金牌,2.0,180,3.8,58到家
NN20250119000065,2025-01-19 15:07,江南,汇东星城,开荒保洁,金牌,7.5,541,2.4,美团
NN20250109000066,2025-01-09 08:05,青秀,塞纳维拉花园,家电清洗,熟练,4.0,548,4.1,小程序
NN20250102000067,2025-01-02 10:30,江南,保利城,家电清洗,新手,2.0,117,3.8,58到家
NN20250122000068,2025-01-22 09:54,青秀,龙光君御华府,开荒保洁,新手,6.0,583,4.3,小程序
NN20250104000069,2025-01-04 14:55,江南,龙光普罗旺斯,开荒保洁,熟练,5.5,257,2.8,58到家
NN20250107000070,2025-01-07 12:35,青秀,莱茵湖畔,深度清洁,熟练,4.5,432,3.5,小程序
NN20250106000071,2025-01-06 12:35,青秀,龙光君御华府,日常保洁,金牌,5.5,382,3.6,美团
NN20250117000072,2025-01-17 19:17,良庆,港保苑,家电清洗,新手,2.0,124,4.0,电话
NN20250129000073,2025-01-29 10:55,青秀,山水方园,开荒保洁,熟练,7.5,1049,3.8,APP
NN20250122000074,2025-01-22 15:55,青秀,万正鸣翠谷,深度清洁,新手,5.5,403,4.7,电话
NN20250123000075,2025-01-23 11:36,良庆,阳光新城,日常保洁,熟练,5.0,310,4.5,58到家
NN20250116000076,2025-01-16 08:08,江南,昌泰鑫金绿洲,日常保洁,新手,4.5,201,3.0,电话
NN20250105000077,2025-01-05 18:09,青秀,山水方园,家电清洗,新手,2.5,269,4.2,APP
NN20250111000078,2025-01-11 15:55,江南,昌泰鑫金绿洲,日常保洁,熟练,6.0,347,3.7,小程序
NN20250104000079,2025-01-04 19:55,青秀,华润幸福里,开荒保洁,金牌,5.0,1067,4.3,美团
NN20250119000080,2025-01-19 10:10,青秀,中房翡翠园,家电清洗,熟练,2.0,181,4.4,美团
NN20250109000081,2025-01-09 15:16,西乡塘,联发西棠,家电清洗,熟练,2.0,147,3.7,58到家
NN20250109000082,2025-01-09 15:54,良庆,阳光新城,家电清洗,新手,2.0,124,3.9,美团
NN20250101000083,2025-01-01 18:25,良庆,南宁恒大名都,家电清洗,熟练,4.0,518,4.6,小程序
NN20250108000084,2025-01-08 17:51,良庆,融创九棠府,日常保洁,新手,4.5,243,3.6,小程序
NN20250104000085,2025-01-04 18:02,良庆,港保苑,日常保洁,熟练,3.5,220,4.2,58到家
NN20250129000086,2025-01-29 13:33,江南,汇东星城,家电清洗,新手,2.5,229,4.7,APP
NN20250111000087,2025-01-11 15:04,青秀,盛天茗城,家电清洗,熟练,4.0,546,4.0,APP
NN20250112000088,2025-01-12 18:47,西乡塘,昌泰清华园,日常保洁,熟练,4.0,221,3.9,58到家
NN20250131000089,2025-01-31 16:20,邕宁,龙光玖珑湾,深度清洁,熟练,6.0,531,4.1,小程序
NN20250116000090,2025-01-16 09:06,青秀,万正鸣翠谷,日常保洁,熟练,5.0,321,4.0,电话
NN20250124000091,2025-01-24 19:09,邕宁,中铁交通天地明珠,家电清洗,熟练,4.0,310,2.7,小程序
NN20250112000092,2025-01-12 16:57,武鸣,金茂新城,日常保洁,新手,5.0,314,4.1,APP
NN20250107000093,2025-01-07 18:40,西乡塘,大嘉汇尚悦,日常保洁,新手,5.0,246,3.5,美团
NN20250127000094,2025-01-27 11:21,兴宁,联发尚筑,日常保洁,金牌,3.5,84,3.1,美团
NN20250122000095,2025-01-22 08:08,青秀,山水方园,开荒保洁,熟练,4.0,541,4.1,美团
NN20250115000096,2025-01-15 13:32,西乡塘,联发西棠,深度清洁,金牌,4.0,382,4.1,APP
NN20250115000097,2025-01-15 18:01,青秀,凤岭春天,家电清洗,熟练,2.0,176,3.9,58到家
NN20250119000098,2025-01-19 16:45,良庆,南宁恒大名都,深度清洁,熟练,6.5,528,4.4,小程序
NN20250121000099,2025-01-21 16:46,邕宁,万丰新新传说,深度清洁,新手,4.0,126,2.1,58到家
NN20250112000100,2025-01-12 18:59,江南,盛天领域,家电清洗,新手,1.0,119,4.3,APP
NN20250119000101,2025-01-19 16:21,西乡塘,荣和摩客社区,日常保洁,熟练,5.5,312,3.7,小程序
NN20250119000102,2025-01-19 10:42,江南,盛天领域,日常保洁,熟练,3.5,183,3.8,美团
NN20250118000103,2025-01-18 17:39,西乡塘,大唐天城,日常保洁,金牌,5.5,323,4.1,美团
NN20250101000104,2025-01-01 10:55,青秀,塞纳维拉花园,深度清洁,新手,5.0,348,4.3,小程序
NN20250114000105,2025-01-14 15:21,青秀,莱茵湖畔,开荒保洁,熟练,6.5,855,3.6,美团
NN20250109000106,2025-01-09 15:42,良庆,南宁恒大名都,深度清洁,新手,5.5,371,3.6,58到家
NN20250122000107,2025-01-22 17:31,江南,汇东星城,日常保洁,熟练,5.0,251,4.2,58到家
NN20250105000108,2025-01-05 14:34,西乡塘,大唐天城,深度清洁,熟练,5.5,424,4.2,小程序
NN20250115000109,2025-01-15 09:55,良庆,阳光新城,深度清洁,熟练,5.5,448,4.2,美团
NN20250127000110,2025-01-27 19:58,良庆,阳光新城,家电清洗,新手,2.0,127,3.5,58到家
NN20250125000111,2025-01-25 10:04,江南,盛天领域,深度清洁,新手,5.5,349,4.3,电话
NN20250109000112,2025-01-09 11:11,西乡塘,骋望麓涛,日常保洁,熟练,4.5,252,4.1,APP
NN20250130000113,2025-01-30 17:41,西乡塘,昌泰清华园,日常保洁,金牌,4.0,241,4.2,58到家
NN20250112000114,2025-01-12 12:29,江南,龙光普罗旺斯,日常保洁,新手,4.5,227,3.5,美团
NN20250113000115,2025-01-13 15:37,江南,龙光普罗旺斯,深度清洁,金牌,6.5,582,4.2,58到家
NN20250129000116,2025-01-29 13:45,青秀,塞纳维拉花园,日常保洁,新手,4.0,216,4.1,小程序
NN20250112000117,2025-01-12 14:26,兴宁,联发尚筑,日常保洁,熟练,4.0,211,4.0,小程序
NN20250131000118,2025-01-31 17:55,青秀,保利21世家,深度清洁,新手,4.0,318,4.8,小程序
NN20250120000119,2025-01-20 19:05,良庆,阳光新城,深度清洁,新手,3.5,257,4.4,电话
NN20250122000120,2025-01-22 14:32,良庆,合景天汇广场,日常保洁,金牌,4.0,277,3.9,美团
NN20250126000121,2025-01-26 09:32,兴宁,恒大华府,日常保洁,新手,4.5,130,2.9,58到家
NN20250126000122,2025-01-26 19:28,青秀,万达公馆,开荒保洁,新手,4.5,176,2.8,小程序
NN20250126000123,2025-01-26 15:57,邕宁,合景天峻广场,开荒保洁,熟练,6.0,832,3.8,APP
NN20250107000124,2025-01-07 17:08,邕宁,阳光城丽景湾,深度清洁,金牌,6.0,572,4.3,APP
NN20250110000125,2025-01-10 09:48,青秀,凤岭春天,家电清洗,新手,2.0,140,3.9,美团
NN20250102000126,2025-01-02 14:32,良庆,阳光新城,家电清洗,熟练,1.5,173,4.1,APP
NN20250105000127,2025-01-05 19:30,江南,龙光普罗旺斯,家电清洗,新手,1.5,109,3.6,电话
NN20250108000128,2025-01-08 12:07,青秀,龙光君御华府,深度清洁,熟练,4.5,424,4.3,58到家
NN20250121000129,2025-01-21 16:36,青秀,华润幸福里,日常保洁,新手,3.5,192,3.6,美团
NN20250131000130,2025-01-31 16:34,江南,南宁奥园,深度清洁,熟练,6.0,479,3.9,电话
NN20250101000131,2025-01-01 13:50,青秀,盛天茗城,开荒保洁,熟练,7.0,1010,3.3,58到家
NN20250106000132,2025-01-06 18:29,武鸣,九个半岛,深度清洁,金牌,4.5,363,2.7,58到家
NN20250102000133,2025-01-02 11:56,青秀,维也纳森林,日常保洁,熟练,5.5,340,3.8,美团
NN20250102000134,2025-01-02 18:21,良庆,合景天汇广场,深度清洁,熟练,6.0,550,4.8,58到家
NN20250123000135,2025-01-23 15:23,武鸣,万隆国际,开荒保洁,熟练,4.5,399,2.7,APP
NN20250122000136,2025-01-22 12:19,江南,风格雨林,日常保洁,熟练,4.5,251,4.1,电话
NN20250114000137,2025-01-14 12:40,武鸣,麒麟御府,日常保洁,熟练,4.0,281,4.3,小程序
NN20250126000138,2025-01-26 10:04,青秀,塞纳维拉花园,日常保洁,熟练,4.5,284,4.6,小程序
NN20250112000139,2025-01-12 09:36,青秀,万达公馆,日常保洁,熟练,3.5,206,3.8,小程序
NN20250109000140,2025-01-09 12:45,江南,昌泰鑫金绿洲,日常保洁,金牌,4.5,259,4.5,APP
NN20250129000141,2025-01-29 19:28,武鸣,金茂新城,开荒保洁,熟练,6.0,885,3.8,美团
NN20250106000142,2025-01-06 13:32,青秀,盛天茗城,开荒保洁,新手,4.5,411,3.4,小程序
NN20250125000143,2025-01-25 14:52,江南,绿港阳光城,家电清洗,熟练,2.5,304,4.1,58到家
NN20250106000144,2025-01-06 10:27,江南,龙光普罗旺斯,家电清洗,熟练,2.5,283,3.4,电话
NN20250131000145,2025-01-31 16:57,良庆,恒大绿洲,日常保洁,熟练,4.5,152,3.0,58到家
NN20250131000146,2025-01-31 17:09,青秀,中房翡翠园,开荒保洁,熟练,7.5,1057,4.0,APP
NN20250102000147,2025-01-02 18:49,江南,融晟公园大地,开荒保洁,熟练,6.5,790,4.4,小程序
NN20250126000148,2025-01-26 14:19,江南,龙光普罗旺斯,日常保洁,熟练,4.5,96,2.7,美团
NN20250111000149,2025-01-11 13:25,青秀,万达公馆,深度清洁,新手,3.5,247,4.9,58到家
NN20250128000150,2025-01-28 17:26,青秀,香格里拉花园,家电清洗,金牌,5.0,672,4.3,美团
NN20250117000151,2025-01-17 15:31,邕宁,大唐盛世,日常保洁,金牌,4.5,136,2.9,美团
NN20250129000152,2025-01-29 18:43,江南,南宁奥园,日常保洁,新手,3.5,160,4.1,58到家
NN20250102000153,2025-01-02 14:03,江南,融晟公园大地,日常保洁,新手,4.0,188,3.8,小程序
NN20250105000154,2025-01-05 14:23,兴宁,龙基传媒星城,深度清洁,熟练,4.5,357,3.6,58到家
NN20250102000155,2025-01-02 10:45,良庆,港保苑,深度清洁,新手,5.5,372,3.6,电话
NN20250127000156,2025-01-27 12:37,良庆,碧水天和,深度清洁,熟练,5.0,450,4.3,58到家
NN20250114000157,2025-01-14 17:19,兴宁,奥园园著,深度清洁,新手,5.0,345,4.4,小程序
NN20250117000158,2025-01-17 18:46,西乡塘,荣和摩客社区,日常保洁,熟练,3.0,172,4.1,美团
NN20250111000159,2025-01-11 14:44,青秀,万正鸣翠谷,开荒保洁,金牌,9.5,2011,4.1,美团
NN20250122000160,2025-01-22 15:33,良庆,龙光玖珑湖,深度清洁,熟练,6.0,530,4.3,APP
NN20250126000161,2025-01-26 17:30,青秀,盛天茗城,日常保洁,新手,5.0,290,3.8,APP
NN20250116000162,2025-01-16 13:35,武鸣,万隆国际,日常保洁,熟练,4.5,321,3.6,58到家
NN20250125000163,2025-01-25 12:02,良庆,华润二十四城,日常保洁,金牌,5.0,346,3.9,美团
NN20250109000164,2025-01-09 10:06,西乡塘,昌泰清华园,日常保洁,新手,5.0,227,4.5,美团
NN20250111000165,2025-01-11 09:43,兴宁,奥园园著,家电清洗,金牌,2.5,386,3.6,APP
NN20250110000166,2025-01-10 13:18,西乡塘,骋望麓涛,开荒保洁,新手,5.0,425,3.5,美团
NN20250114000167,2025-01-14 10:59,邕宁,万丰新新传说,开荒保洁,新手,5.0,469,3.8,美团
NN20250130000168,2025-01-30 13:18,江南,南宁奥园,深度清洁,金牌,4.5,413,4.7,美团
NN20250111000169,2025-01-11 12:36,西乡塘,龙光水悦龙湾,日常保洁,金牌,5.5,349,3.9,小程序
NN20250105000170,2025-01-05 11:00,良庆,万科魅力之城,深度清洁,新手,4.0,288,3.8,小程序
NN20250112000171,2025-01-12 08:42,青秀,莱茵湖畔,日常保洁,熟练,6.0,393,3.4,APP
NN20250112000172,2025-01-12 11:08,江南,保利城,开荒保洁,熟练,5.5,673,3.3,58到家
NN20250122000173,2025-01-22 11:48,青秀,山水方园,深度清洁,熟练,6.0,542,4.8,58到家
NN20250129000174,2025-01-29 16:12,江南,绿港阳光城,日常保洁,金牌,4.5,280,4.5,小程序
NN20250129000175,2025-01-29 16:28,兴宁,中海国际社区,日常保洁,熟练,4.5,245,4.3,小程序
NN20250101000176,2025-01-01 19:13,江南,龙光普罗旺斯,深度清洁,熟练,6.0,441,4.2,APP
NN20250116000177,2025-01-16 08:18,良庆,龙光玖珑湖,开荒保洁,金牌,8.0,1551,4.6,电话
NN20250113000178,2025-01-13 09:43,武鸣,恒泰丽园,开荒保洁,新手,3.5,356,3.4,小程序
NN20250108000179,2025-01-08 08:48,青秀,莱茵湖畔,深度清洁,熟练,5.5,487,4.1,美团
NN20250129000180,2025-01-29 19:48,青秀,山水方园,开荒保洁,熟练,7.5,1105,4.2,美团
NN20250120000181,2025-01-20 08:28,西乡塘,大嘉汇尚悦,日常保洁,新手,4.0,190,4.8,APP
NN20250108000182,2025-01-08 19:36,良庆,南宁恒大名都,开荒保洁,金牌,6.0,1238,5.0,电话
NN20250114000183,2025-01-14 12:17,青秀,中房翡翠园,家电清洗,金牌,4.0,645,4.8,58到家
NN20250126000184,2025-01-26 19:26,良庆,绿地国际花都,日常保洁,熟练,4.5,280,3.8,58到家
NN20250126000185,2025-01-26 08:35,良庆,阳光新城,深度清洁,新手,3.5,239,4.3,小程序
NN20250124000186,2025-01-24 11:03,良庆,融创九棠府,深度清洁,新手,3.0,223,3.9,小程序
NN20250107000187,2025-01-07 15:13,邕宁,合景天峻广场,日常保洁,金牌,3.5,224,4.2,小程序
NN20250123000188,2025-01-23 17:45,青秀,维也纳森林,日常保洁,新手,3.5,189,3.1,小程序
NN20250112000189,2025-01-12 15:29,青秀,蓝山上城,深度清洁,金牌,7.5,777,4.0,58到家
NN20250109000190,2025-01-09 16:59,西乡塘,荣和摩客社区,日常保洁,新手,3.5,167,4.2,美团
NN20250131000191,2025-01-31 18:21,良庆,港保苑,家电清洗,熟练,2.5,312,3.9,APP
NN20250130000192,2025-01-30 16:41,武鸣,麒麟御府,家电清洗,新手,2.5,269,3.5,美团
NN20250121000193,2025-01-21 11:04,西乡塘,大嘉汇尚悦,日常保洁,熟练,3.0,85,3.1,电话
NN20250118000194,2025-01-18 08:01,江南,汇东星城,深度清洁,新手,4.5,300,3.9,58到家
NN20250106000195,2025-01-06 09:58,青秀,华润幸福里,日常保洁,熟练,4.0,243,4.4,APP
NN20250108000196,2025-01-08 19:14,良庆,恒大绿洲,开荒保洁,金牌,9.0,1664,4.1,58到家
NN20250102000197,2025-01-02 18:00,西乡塘,骋望麓涛,深度清洁,熟练,7.0,553,3.9,APP
NN20250107000198,2025-01-07 19:56,江南,汇东星城,日常保洁,新手,5.0,249,4.0,小程序
NN20250130000199,2025-01-30 13:01,武鸣,恒泰丽园,开荒保洁,熟练,5.5,786,4.2,美团
NN20250129000200,2025-01-29 16:21,良庆,华润二十四城,日常保洁,金牌,5.0,334,3.7,电话
NN20250114000201,2025-01-14 11:53,青秀,中房翡翠园,开荒保洁,金牌,7.0,1489,4.5,美团
NN20250112000202,2025-01-12 14:27,青秀,中房翡翠园,开荒保洁,新手,5.0,485,4.0,小程序
NN20250105000203,2025-01-05 18:09,兴宁,龙基传媒星城,日常保洁,新手,5.0,234,4.4,APP
NN20250118000204,2025-01-18 14:06,青秀,万达公馆,深度清洁,熟练,7.0,662,4.2,美团
NN20250118000205,2025-01-18 11:36,江南,风格雨林,日常保洁,新手,3.5,157,3.8,美团
NN20250104000206,2025-01-04 10:19,青秀,龙光君御华府,日常保洁,熟练,5.5,333,4.9,58到家
NN20250128000207,2025-01-28 18:38,青秀,万达公馆,深度清洁,熟练,6.0,516,3.9,58到家
NN20250131000208,2025-01-31 17:50,青秀,龙光君御华府,日常保洁,熟练,4.0,263,3.4,美团
NN20250106000209,2025-01-06 18:49,江南,保利城,家电清洗,新手,2.5,240,4.2,美团
NN20250105000210,2025-01-05 11:16,西乡塘,荣和摩客社区,开荒保洁,新手,6.0,485,3.4,58到家
NN20250130000211,2025-01-30 19:26,江南,金湾花城,开荒保洁,金牌,8.0,1508,3.9,美团
NN20250120000212,2025-01-20 08:36,武鸣,武鸣碧桂园,家电清洗,新手,2.5,271,3.8,美团
NN20250124000213,2025-01-24 16:35,西乡塘,昌泰清华园,日常保洁,熟练,4.5,249,4.5,小程序
NN20250110000214,2025-01-10 14:58,武鸣,红岭小区,家电清洗,熟练,2.5,363,4.0,APP
NN20250112000215,2025-01-12 15:46,西乡塘,瀚林华府,日常保洁,新手,4.5,198,4.3,58到家
NN20250124000216,2025-01-24 11:33,青秀,华润幸福里,日常保洁,熟练,4.5,291,3.1,小程序
NN20250122000217,2025-01-22 14:25,青秀,中房翡翠园,家电清洗,熟练,2.5,318,4.0,美团
NN20250118000218,2025-01-18 10:23,良庆,港保苑,日常保洁,熟练,4.5,285,3.3,58到家
NN20250113000219,2025-01-13 17:07,良庆,港保苑,深度清洁,金牌,7.0,687,4.1,小程序
NN20250110000220,2025-01-10 09:11,良庆,龙光玖珑湖,深度清洁,熟练,4.5,381,4.1,美团
NN20250123000221,2025-01-23 18:59,武鸣,恒泰丽园,深度清洁,新手,4.0,322,4.2,美团
NN20250127000222,2025-01-27 14:35,江南,保利城,深度清洁,熟练,7.0,544,4.0,美团
NN20250126000223,2025-01-26 12:02,良庆,碧水天和,日常保洁,熟练,4.5,277,3.7,58到家
NN20250118000224,2025-01-18 13:34,兴宁,奥园园著,开荒保洁,熟练,5.0,601,3.9,小程序
NN20250108000225,2025-01-08 12:55,武鸣,九个半岛,日常保洁,金牌,3.5,279,4.2,美团
NN20250123000226,2025-01-23 13:55,西乡塘,荣和摩客社区,日常保洁,新手,3.5,159,4.6,美团
NN20250109000227,2025-01-09 17:34,青秀,蓝山上城,日常保洁,熟练,6.0,373,4.6,电话
NN20250114000228,2025-01-14 08:17,邕宁,世茂茂御府,开荒保洁,新手,3.5,304,4.7,美团
NN20250113000229,2025-01-13 15:09,江南,汇东星城,深度清洁,熟练,4.5,367,4.0,APP
NN20250129000230,2025-01-29 13:29,武鸣,金茂新城,深度清洁,金牌,7.5,812,3.6,电话
NN20250123000231,2025-01-23 13:54,青秀,万正鸣翠谷,日常保洁,金牌,5.5,384,3.8,58到家
NN20250128000232,2025-01-28 15:50,良庆,融创九棠府,开荒保洁,新手,5.0,467,3.9,美团
NN20250106000233,2025-01-06 15:29,青秀,龙光君御华府,日常保洁,熟练,3.5,222,4.1,美团
NN20250109000234,2025-01-09 09:23,西乡塘,人和莱茵鹭湖,日常保洁,熟练,5.0,280,4.6,58到家
NN20250105000235,2025-01-05 17:14,江南,保利城,日常保洁,熟练,5.5,317,4.4,58到家
NN20250124000236,2025-01-24 09:06,良庆,绿地国际花都,日常保洁,熟练,5.5,310,4.2,电话
NN20250117000237,2025-01-17 17:00,西乡塘,人和莱茵鹭湖,深度清洁,熟练,6.5,484,4.3,58到家
NN20250104000238,2025-01-04 17:46,良庆,阳光新城,日常保洁,新手,3.5,171,4.1,小程序
NN20250120000239,2025-01-20 12:49,武鸣,麒麟御府,家电清洗,熟练,2.5,372,4.0,小程序
NN20250129000240,2025-01-29 11:31,良庆,万科魅力之城,深度清洁,熟练,6.0,551,4.1,电话
NN20250105000241,2025-01-05 17:26,良庆,融创九棠府,日常保洁,熟练,6.0,335,4.2,小程序
NN20250131000242,2025-01-31 14:32,良庆,华润二十四城,深度清洁,熟练,7.0,568,5.0,小程序
NN20250109000243,2025-01-09 09:19,青秀,维也纳森林,日常保洁,金牌,4.5,152,3.0,小程序
NN20250123000244,2025-01-23 14:46,武鸣,标营新区,日常保洁,新手,4.0,235,3.9,小程序
NN20250124000245,2025-01-24 18:47,青秀,荣和大地,开荒保洁,熟练,4.5,669,4.0,小程序
NN20250105000246,2025-01-05 12:46,邕宁,阳光城丽景湾,日常保洁,熟练,4.5,258,4.0,电话
NN20250116000247,2025-01-16 15:32,良庆,港保苑,家电清洗,新手,1.5,131,4.5,APP
NN20250101000248,2025-01-01 08:54,邕宁,龙光玖珑湾,日常保洁,熟练,6.0,340,4.4,电话
NN20250126000249,2025-01-26 19:41,良庆,合景天汇广场,日常保洁,金牌,4.0,279,3.9,小程序
NN20250108000250,2025-01-08 16:02,武鸣,红岭小区,家电清洗,金牌,4.5,690,3.9,美团
NN20250119000251,2025-01-19 12:47,西乡塘,联发西棠,日常保洁,金牌,6.0,379,4.1,小程序
NN20250130000252,2025-01-30 14:01,青秀,万达公馆,深度清洁,熟练,4.0,352,3.8,APP
NN20250124000253,2025-01-24 19:19,青秀,万正鸣翠谷,家电清洗,熟练,4.0,546,4.3,美团
NN20250128000254,2025-01-28 16:26,西乡塘,瀚林华府,深度清洁,熟练,6.5,509,4.1,小程序
NN20250119000255,2025-01-19 14:42,武鸣,标营新区,日常保洁,金牌,6.0,449,3.7,APP
